website name,website url
Arts,/Arts/Movies/
Movies,/Arts/Television/
Television,/Arts/Music/
Music,/Business/
Business,/Business/Employment/
Jobs,/Business/Real_Estate/
Real Estate,/Business/Investing/
Investing,/Computers/
Computers,/Computers/Internet/
Internet,/Computers/Software/
Software,/Computers/Hardware/
Hardware,/Games/
Games,/Games/Video_Games/
Video Games,/Games/Roleplaying/
RPGs,/Games/Gambling/
Gambling,/Health/
Health,/Health/Fitness/
Fitness,/Health/Medicine/
Medicine,/Health/Alternative/
Alternative,/Home/
Home,/Home/Family/
Family,/Home/Consumer_Information/
Consumers,/Home/Cooking/
Cooking,/News/
News,/News/Media/
Media,/News/Newspapers/
Newspapers,/News/Weather/
Weather,/Recreation/
Recreation,/Recreation/Travel/
Travel,/Recreation/Food/
Food,/Recreation/Outdoors/
Outdoors,/Recreation/Humor/
Humor,/Reference/
Reference,/Reference/Maps/
Maps,/Reference/Education/
Education,/Reference/Libraries/
Libraries,/Regional/
Regional,/Regional/North_America/United_States/
US,/Regional/North_America/Canada/
Canada,/Regional/Europe/United_Kingdom/
UK,/Regional/Europe/
Europe,/Science/
Science,/Science/Biology/
Biology,/Science/Social_Sciences/Psychology/
Psychology,/Science/Physics/
Physics,/Shopping/
Shopping,/Shopping/Clothing/
Clothing,/Shopping/Food/
Food,/Shopping/Gifts/
Gifts,/Society/
Society,/Society/People/
People,/Society/Religion_and_Spirituality/
Religion,/Society/Issues/
Issues,/Sports/
Sports,/Sports/Baseball/
Baseball,/Sports/Soccer/
Soccer,/Sports/Basketball/
Basketball,/Kids_and_Teens/
Kids ,/Kids_and_Teens/Arts/
 Teens Directory,/Kids_and_Teens/School_Time/
Arts,/Kids_and_Teens/Teen_Life/
School Time,/World/
Teen Life,/World/Deutsch/
DMOZ ,/World/Fran%C3%A7ais/
 World,/World/Japanese/
Deutsch,/World/Italiano/
Français,/World/Espa%C3%B1ol/
日本語,/World/Russian/
Italiano,/World/Nederlands/
Español,/World/Polski/
Русский,/World/T%C3%BCrk%C3%A7e/
Nederlands,/World/Dansk/
Polski,/World/Chinese_Simplified/
Türkçe,/docs/en/termsofuse.html
Dansk,/docs/en/cmbuild.html
